filename;date;description;parc;total_parc;category;city;value
tmp_q4fmgtw.pdf;15/07;DEBITO AUTOM 3492300000;;;;;3240,45
tmp_q4fmgtw.pdf;20/01;AMAZON PRIME BR   07/12;07;12;DIVERSOS;SAO PAULO;13,9
tmp_q4fmgtw.pdf;16/07;IOF PAGAMENTOCONTA AUT;;;DIVERSOS;SAO PAULO;21,48
tmp_q4fmgtw.pdf;13/03;HTM*Plano Bull -  04/12;04;12;DIVERSOS;Sao Paulo;21,9
tmp_q4fmgtw.pdf;21/07;PCAUT ENERGIA 24989914;;;DIVERSOS;Sao Paulo;817,02
tmp_q4fmgtw.pdf;11/07;APPLE.COM/BILL;;;HOBBY;SAO PAULO;54,9
tmp_q4fmgtw.pdf;21/07;PCAUT AGUA 0060215810;;;HOBBY;SAO PAULO;437,98
tmp_q4fmgtw.pdf;21/07;CONTA VIVO;;;DIVERSOS;SAO PAULO;107,0
tmp_q4fmgtw.pdf;21/07;PCAUT TELEFONE 97682972;;;DIVERSOS;SAO PAULO;349,02
tmp_q4fmgtw.pdf;22/07;EC     *EC*MELIMAIS;;;DIVERSOS;OSASCO;24,9
tmp_q4fmgtw.pdf;22/07;IOF PAGAMENTOCONTA AUT;;;DIVERSOS;OSASCO;5,01
tmp_q4fmgtw.pdf;24/07;APPLE.COM/BILL;;;HOBBY;SAO PAULO;21,9
tmp_q4fmgtw.pdf;22/07;IOF PAGAMENTOCONTA AUT;;;HOBBY;SAO PAULO;2,68
tmp_q4fmgtw.pdf;30/07;APPLE.COM/BILL;;;HOBBY;SAO PAULO;5,9
tmp_q4fmgtw.pdf;22/07;IOF PAGAMENTOCONTA AUT;;;HOBBY;SAO PAULO;2,14
tmp_q4fmgtw.pdf;01/08;APPLE.COM/BILL;;;HOBBY;SAO PAULO;99,9
tmp_q4fmgtw.pdf;28/07;PCAUT ENERGIA 29588740;;;HOBBY;SAO PAULO;180,71
tmp_q4fmgtw.pdf;09/08;APPLE.COM/BILL;;;HOBBY;SAO PAULO;19,9
tmp_q4fmgtw.pdf;29/07;IOF PAGAMENTOCONTA AUT;;;HOBBY;SAO PAULO;1,0
tmp_q4fmgtw.pdf;09/08;APPLE.COM/BILL;;;HOBBY;SAO PAULO;94,9